id,strain,agouti,group,sex,CACNA1C,d50bw,pctdurlight,d1totalactivity,d1centerdur,d2totalactivity,d3.d2totalactivity,immobdur,ppibox,startle
57034,DDY,b,CAC16,M,WT,32.5,52.4,2132,22,2660,22861,13.2,1,152.7
57035,DDY,b,CAC16,M,HET,36.7,52.5,2755,26,1702,7662,0.5,2,43.8
57036,DDY,b,CAC16,F,HET,32.1,40.1,5921,34,3640,18251,6.2,4,20.7
57037,DDY,b,CAC16,F,WT,21.7,48.9,4744,84,2579,31713,20.7,5,125
57038,LP,a,CAC16,M,WT,28.2,42.9,5933,90,3777,16191,57.3,1,6.2
57039,LP,a,CAC16,M,HET,27.1,41.7,5857,221,4311,6304,8.3,2,6.4
57040,DDY,b,CAC16,M,HET,NA,42.3,3347,55,1544,8502,24.7,4,29.4
57042,DDY,b,CAC16,M,HET,NA,35.8,5571,119,4610,17686,47.1,5,48.6
57043,DDY,b,CAC16,F,WT,NA,42.3,6867,93,6107,26006,20.4,1,54.5
57044,DDY,b,CAC16,F,WT,NA,29.8,4777,19,3351,26452,71.6,2,64.1
57047,SWR,a,CAC16,M,HET,24.5,38.4,5029,194,5291,16196,0.5,4,38.9
57049,SWR,a,CAC16,M,HET,25,46.5,3366,63,3271,17292,3.1,5,56.2
57055,LP,a,CAC16,F,HET,22.4,45.7,4237,79,2873,7143,11.6,1,6.5
57056,LP,a,CAC16,F,HET,23.1,31.8,3135,0,502,2351,6.2,2,5
57057,LP,a,CAC16,M,WT,28.8,46.3,3946,123,2520,8854,150.3,4,18
57058,LP,a,CAC16,M,HET,31.2,22.5,4323,56,1310,2465,113.3,5,21.9
57059,LP,a,CAC16,M,WT,28.5,44.7,4765,155,2670,8104,87.4,1,8.3
57060,LP,a,CAC16,F,HET,21.8,29.7,4287,51,3020,-805,78,2,3.8
57061,LP,a,CAC16,F,WT,20.7,53.7,3829,22,2982,5388,79.4,4,5.3
57062,SWR,a,CAC16,M,HET,24.5,45.1,5123,188,4457,15417,0,5,51.9
57063,SWR,a,CAC16,M,WT,26.4,49.8,6209,193,3738,14274,0,1,22.5
57066,SWR,a,CAC16,F,HET,19.6,36.2,3902,126,3275,12393,0,2,7.7
57067,SWR,a,CAC16,F,HET,18.9,42.9,5896,171,4081,8478,0,4,12.8
57068,SWR,a,CAC16,F,HET,18.4,43,4014,122,3071,14132,0,5,42.3
57079,SWR,a,CAC16,F,HET,20.6,40.4,2561,37,2665,14632,0.7,1,7.5
57082,SWR,a,CAC16,F,HET,19.2,41.3,4428,32,3607,11108,12.1,2,15.8
57083,DDY,b,CAC16,M,HET,35.4,48.8,3684,86,2915,11219,9.2,4,43.7
57085,DDY,b,CAC16,M,WT,35,45.5,4276,145,4302,23216,8.3,5,139
