id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53109,KK,6,3A,F,HET,black,25.1,33.6,3877.6,AM,0.89,31.1,69.6,2,16.1,42,157.6,57,28.7,137
53110,KK,6,3A,F,WT,black,26.1,64.5,3763.8,AM,11.61,88.1,96.9,3,7.4,79.1,175.8,95,37.4,136
53111,KK,6,3A,F,HET,black,24.6,9.9,3100.6,AM,1.34,16.7,54.9,4,27.3,107.7,102.8,75,29.6,113
53112,C58,2,3A,F,HET,black,19.7,58.1,8233,AM,0,3.7,10.7,5,77.8,33.7,53.7,62,21.9,80
53113,C58,2,3A,F,WT,black,21.8,74.1,6821.3,AM,0,10.3,10.3,1,19.7,6.3,57.5,92,24.3,77
53114,BTBR,5,3A,F,HET,black+tan,22.9,15.6,1501.9,AM,7.6,18.9,94.2,2,79.2,35.7,67.8,64,27.5,115
53115,BTBR,5,3A,F,HET,black+tan,22.5,21.9,8470.4,AM,0.44,11,52.7,3,11.7,61.1,21,47,27.2,107
53116,BTBR,5,3A,F,WT,black+tan,24.1,94.9,4369.8,AM,0,7.5,50,4,25.7,54.9,133.3,53,29.7,89
53117,BTBR,5,3A,F,HET,black+tan,21.8,20.6,2211.7,AM,2.24,4.6,33.9,5,54.7,35.8,81.7,62,27.4,78
53123,NOD,11,3A,M,WT,agouti,28.3,168,5846.3,AM,4.07,61.9,44.7,1,28.8,9.9,75.1,47,31.4,87
53124,NOD,11,3A,M,HET,agouti,29.3,62.8,3126.3,AM,2.33,0.5,88,2,55.4,9.5,55.7,61,32,130
53125,NOD,11,3A,M,HET,agouti,25.3,52,5435.4,AM,0,2.5,54.5,3,22.5,7.8,66.8,67,29.1,96
53126,NOD,11,3A,M,WT,agouti,27.1,77.5,5347.2,AM,1.42,16.6,22.3,4,80.5,55.7,24.9,44,30.2,103
53127,NOD,11,3A,M,HET,agouti,25,54.8,7561,AM,0.92,61.6,47.3,5,62.8,39,59.4,61,28.5,106
53128,NOD,11,3A,M,WT,agouti,25,193.5,5631.5,AM,0.45,26.3,45.1,1,-10.3,7.3,101.4,60,30.3,108
53129,NOD,11,3A,M,WT,agouti,27.4,177.8,6285.9,AM,0,12.3,38.8,2,40.9,6.3,104.1,56,31.2,95
53130,NOD,11,3A,F,HET,agouti,18.6,20.3,3139.7,AM,0,90.6,70.5,3,18.2,11.5,116.8,40,23,94
53131,NOD,11,3A,F,HET,agouti,18.9,52.1,5770.4,AM,4.92,4.3,76.8,4,12,20.2,45.6,37,23,103
53132,NOD,11,3A,F,HET,agouti,20.3,66.8,4572.1,AM,6.25,40.8,90.6,5,36.2,15.2,129,55,26.3,111
53133,NOD,11,3A,F,WT,agouti,19.6,143.2,4941.1,AM,7.59,44,35.7,1,41,12.2,111,49,23.9,84
53118,SJL,9,3B,M,WT,agouti,26.3,152.9,4583.2,AM,21.51,59.6,78.8,1,65.5,59.7,68.8,87,31.2,117
53119,SJL,9,3B,M,HET,agouti,26,59.8,3781,AM,0.45,15,46.5,2,50.4,16.1,62.4,55,31.8,179
53120,SJL,9,3B,M,WT,agouti,27.1,203.7,4181.8,AM,2.25,33.8,48.1,3,24.3,27,43,60,32.5,93
53121,SJL,9,3B,M,HET,agouti,25.1,17.2,2228.2,AM,4.03,52.3,72.5,4,53.8,33.5,56.6,74,32.4,94
53122,SJL,9,3B,M,HET,agouti,24.8,57.1,4133.5,AM,5.81,42.5,64.9,5,23.1,40.5,132.7,58,31.7,123
53134,BALB,7,3B,M,HET,agouti,26.3,43.2,3287.2,AM,16.97,61.9,33.1,1,41.8,16.7,73.7,72,27.3,121
53135,BALB,7,3B,M,HET,agouti,25.8,40.6,3224.1,AM,0,1.1,5,2,70.1,31.2,94.5,60,28.7,146
53136,BALB,7,3B,M,WT,agouti,29.4,129.2,5064.5,AM,4.47,3.6,19,3,45,11.5,102.2,64,35.2,122
53137,BALB,7,3B,M,WT,agouti,27.4,134.5,5390.9,AM,3.13,0.2,15.3,4,40.1,39.6,127.5,71,31.9,100
53138,BALB,7,3B,F,HET,agouti,18.2,11.2,2488.9,AM,0.45,0.4,1.8,5,46.1,17.3,101.9,70,21,90
53139,BALB,7,3B,F,HET,agouti,19.1,4.6,3263.3,AM,0.45,1.4,15.3,1,64.3,13.1,90.7,38,23.2,106
53140,BALB,7,3B,F,WT,agouti,21.1,90.9,4491.2,AM,5.36,42.9,42.6,2,38.9,9,46.1,70,25.1,96
53141,SM,3,3B,M,HET,black+tan,28.9,68.2,7964.1,AM,0.92,35.4,88.8,3,14.4,128.5,42.5,88,36,140
53142,SM,3,3B,M,WT,black+tan,29.2,115.8,7750.3,AM,0.45,9.3,42.9,4,67.2,80.6,41.5,64,41,141
53143,129,5,3B,M,HET,agouti,23.8,63.2,3496.1,AM,0,46.8,44.6,5,NA,NA,61.6,43,27.4,124
53144,129,5,3B,M,HET,agouti,22.8,9.1,2035.2,AM,0.46,0,78.6,1,75.2,68.2,81.8,43,28.2,139
53145,129,5,3B,M,WT,agouti,23.7,34.9,3553.1,AM,4.5,68,49.7,2,72.9,70.1,176.2,54,32.8,107
53146,129,5,3B,F,HET,agouti,22.8,15.7,1830.7,AM,0,2.5,48.5,3,41,83.3,136.6,60,26.1,109
53147,129,5,3B,F,HET,agouti,18.1,3.3,1429.5,AM,1.35,1.4,42.9,4,61.4,82.5,40.1,49,22.5,101
53148,129,5,3B,M,HET,agouti,28.6,3.1,2516.6,AM,5.37,43.2,44.4,5,59.6,171.4,163.1,46,36.4,127
53149,129,5,3B,M,HET,agouti,25.6,54.4,3425.3,AM,0,4.1,79,1,71.2,30.4,69.5,44,30.5,129
53150,129,5,3B,M,WT,agouti,26.6,49.1,3507.6,AM,0.45,14.1,74.6,2,64.5,68.4,86.3,43,33.7,145
53151,129,5,3B,M,WT,agouti,30.9,59.8,3272.4,AM,4.02,19.8,55.4,3,29,150.6,156.5,59,41.4,183
53152,ILN,3,3B,M,WT,black+reddish,34,75,5095.1,AM,3.57,10.3,48.7,4,51.5,112,96.4,82,41.3,132
53153,ILN,3,3B,M,HET,black+reddish,28.3,3.4,3400.1,AM,0,0.4,6.7,5,41.3,97.9,87,82,32.5,119
53154,NOD,10,3B,M,WT,agouti,27.8,66.5,5238.6,AM,1.34,15.1,11.6,1,74,20.4,137.8,43,34,114
53155,NOD,10,3B,M,WT,agouti,29.1,102.2,4762.2,AM,0.45,2,32.6,2,62.5,9.2,64.5,52,36,124
53156,NOD,10,3B,M,HET,agouti,27.8,40.2,5052.6,AM,1.34,3.6,6.7,3,46.2,18.2,45.4,43,32.2,94
53157,NOD,10,3B,M,HET,agouti,26.8,24.1,3547.1,AM,4.91,2,96,4,63.6,21.8,95.1,61,31.7,116
53158,NOD,10,3B,M,HET,agouti,26.7,94.7,6060.5,AM,4.47,0.7,42.4,5,42.8,11.2,90.5,50,31.3,85
53159,NOD,10,3B,M,HET,agouti,27.3,42.6,4604.8,AM,2.23,39.9,47.3,1,43.7,10,108,50,30.6,107
53160,NOD,10,3B,F,WT,agouti,19.2,124.3,4794.4,AM,1.34,59.8,54.9,2,48.3,10.6,82.6,48,22.4,74
53161,NOD,10,3B,F,HET,agouti,20.7,30.4,4526.9,AM,4.47,24.1,76,3,25.4,16.4,39.2,48,25.9,131
53162,NOD,10,3B,F,HET,agouti,19.8,33.6,4464.2,AM,5.81,32.9,26,4,24.3,14.3,45.6,44,23.3,115
53163,NOD,10,3B,F,HET,agouti,20.8,24.6,1800.9,AM,0,76.8,87.8,5,35.3,9,15.6,48,23.8,84
53169,BUB,9,3B,M,WT,black,27.2,184.9,5736.1,AM,4.91,31.8,94.2,1,73.6,15.1,82.6,38,32.6,97
