id,strain,littersize,group,sex,TCF7L2,coatcolor,bw2,centerduration,totalactivity,FCtimeofday,d1tone,d2context,d3tone,PPIbox,PPI6,PPIstartle,immobdur,fastglucose,bw3,baseglucose
53412,B6,9,5A,M,WT,black,21.6,218.7,5123.9,AM,2.68,8.4,52.7,5,85.8,66.5,107.9,59,25.6,123
53413,B6,9,5A,M,HET,black,18.9,17.5,4750.8,AM,2.23,4.8,53.1,1,46.5,59,92.4,44,22.3,109
53414,B6,9,5A,F,WT,black,18.2,164.7,6349.9,AM,0.9,4.1,48.2,2,82.2,24.8,112,57,21.4,115
53415,B6,9,5A,F,HET,black,14.3,71.9,7389.3,AM,1.34,3.6,46,3,40.5,33.5,120.6,52,17.7,135
53416,B6,9,5A,F,HET,black,14.9,13.3,4041.1,AM,6.7,16.9,72.3,4,47.5,30.8,105.9,57,18,125
53417,B6,9,5A,F,WT,black,17.1,160.6,6509.4,AM,9.38,21.2,31.7,5,76.9,44,105.2,52,19.1,145
53418,BTBR,3,5A,F,WT,black+tan,27.5,133,5838.7,AM,0.89,2.5,54.5,1,71.7,58,72.1,44,38.4,106
53419,BTBR,3,5A,F,HET,black+tan,24.6,11,3245.3,AM,1.34,15.3,54.9,2,58.9,41.5,84.5,39,33,109
53420,BTBR,3,5A,F,HET,black+tan,25.4,3.5,3168.2,AM,0,19.9,60.3,3,41.2,42.3,69.8,55,30.6,106
53421,BALB,4,5A,M,WT,agouti,26.5,121.4,6382.6,AM,1.34,17.8,9.4,4,73.1,72,38.6,46,33,124
53422,BALB,4,5A,M,WT,agouti,23.8,81.9,5732.2,AM,0,1.4,2.7,5,NA,NA,90.6,48,29.5,106
53423,BALB,4,5A,M,WT,agouti,26,100.7,7096.9,AM,1.34,13.2,21.4,1,50.4,29,61.3,49,34.3,102
53424,KK,5,5A,M,WT,black,35.1,120.2,5096,AM,0,39.5,46.4,2,19.3,109.5,136,67,40.6,111
53425,KK,5,5A,M,WT,black,35.7,118.3,5221.5,AM,1.34,2.3,53.1,3,27,98.5,80.9,68,42.4,150
53426,KK,5,5A,M,HET,black,34.6,78.8,5001,AM,0,2.9,5.8,4,31.8,190.5,41.7,80,40.9,147
53427,KK,5,5A,F,WT,black,26.8,96.9,3663,AM,0.45,32.9,58.5,5,33.2,51.6,157.9,90,38.7,119
53428,KK,5,5A,F,HET,black,26.9,4.5,1786.7,AM,0,0.2,47.8,1,57.8,53.2,47,60,29.4,112
53429,KK,5,5A,F,WT,black,24.1,308.4,4601.6,AM,0.9,14.1,80.4,2,19,33.1,86.6,86,35.6,160
53430,KK,5,5A,F,HET,black,22.9,12.7,2007.3,AM,2.68,3.2,83,3,37.4,39,42.4,51,29.4,131
53431,DBA,6,5B,M,WT,black,20,137.9,6402.3,PM,2.68,15.3,29.7,1,52.8,32.1,116.1,43,28.7,126
